	X		Y
   1.3034942e+00  -1.0886092e+00
  -1.3074638e+00   1.9930071e+00
  -3.2100121e-02   2.4134996e-01
  -1.0949444e+00  -2.5349632e-01
   4.3028892e-01   2.8028588e-01
   7.2936336e-01   5.0521860e-01
   1.3525728e+00   3.5378885e-01
   1.1421063e+00  -8.1244708e-01
  -6.9705689e-01  -9.3567363e-01
  -1.5461032e-01  -3.0236596e-01
   1.2132655e+00   5.5643395e-01
  -6.7215000e-02   1.1481928e+00
  -1.4884466e+00  -2.7714232e-01
  -9.7283458e-01  -1.0292105e-01
   1.3830970e+00   2.1032719e+00
   1.3444220e+00   2.1845409e+00
   7.4854796e-01  -2.7390895e+00
  -2.3957867e+00  -6.9877870e-01
   1.1752368e+00  -9.2957643e-02
   6.5320964e-01  -1.2058443e-01
  -5.9008092e-01  -8.3787926e-02
   1.1103455e+00   9.4382225e-01
   7.2282427e-01  -9.3035311e-01
   4.8477660e-01   8.5562103e-01
   2.0002802e+00   4.1021419e-01
  -1.8851398e+00   1.4812287e-01
   1.5956905e+00  -1.0948269e-01
  -9.2776462e-01   4.6145641e-01
   2.1660410e+00   6.3687753e-01
  -1.1082693e+00  -9.1841589e-01
  -1.6220225e+00  -8.0156262e-01
   7.2303079e-01   5.0250844e-01
  -8.5250661e-01   5.3617407e-01
  -6.3102150e-01  -6.4176112e-01
  -2.2388277e+00   6.4400089e-01
  -8.2798578e-01   1.6450466e+00
  -1.5407196e+00  -8.1397650e-01
  -1.1856079e-01  -6.1059322e-01
  -1.3951241e-01   8.5726302e-01
  -2.0186217e-01   3.6091319e-01
   7.3966987e-01   1.1734475e+00
  -1.9020028e+00  -1.6397632e-02
  -2.1985861e+00  -1.4872231e-01
  -7.7580266e-01  -1.6022458e+00
  -1.9620626e-01  -1.1536814e+00
   2.7467866e+00  -1.2823565e+00
   1.7985481e-02   2.2029498e+00
   9.8415001e-01  -2.6177034e-01
  -1.8937631e-01  -6.2446034e-01
  -2.5076373e+00   4.5785212e-01
  -6.0514475e-01   1.3941406e+00
   5.1160113e-01   9.2677297e-01
  -9.7384399e-01   2.4154669e+00
  -2.0630318e+00   9.7809569e-01
   8.8040801e-01  -1.4073104e-01
   2.2703622e+00   1.3198342e+00
   1.2129560e+00   5.5323801e-02
   2.0938196e+00  -1.7650800e+00
   5.5348890e-01  -1.1460443e+00
  -3.5663784e-01   1.6156899e-01
   1.7577079e-01  -2.7860179e-01
   3.5524002e-01  -7.0778619e-01
   1.3760318e-01  -2.5406174e-01
   2.1896941e-01   2.1438136e+00
   1.4818840e+00  -2.5437596e-02
  -1.0929237e+00  -2.3637659e-01
  -4.4644954e-01   8.9127650e-03
  -1.3833876e+00  -1.5354944e-01
  -7.9921106e-01  -3.2996811e-01
   7.6060594e-01  -5.9777779e-01
  -5.1879144e-01  -7.5383013e-01
  -1.6353495e+00  -1.0636195e+00
  -7.3464368e-01   8.3660279e-01
  -3.9033762e-01  -1.4822272e+00
  -1.2888198e+00   1.2746098e+00
   9.0760796e-01   2.0477774e+00
   2.2072022e-01  -1.4038755e+00
   3.2007453e-01   1.9241664e-02
  -3.8182807e-01  -1.3520746e+00
   4.0177878e-01  -3.0731269e-01
   3.0882169e-01  -4.7917261e-01
   3.9146403e-01  -1.6124769e+00
   1.6328603e-01   9.8762937e-02
   6.2610364e-01  -1.1142964e+00
  -2.8441176e-01   2.9841314e-01
  -8.1520169e-01  -1.2700402e-01
   1.2613588e+00  -6.7731769e-01
  -1.4551125e+00   2.6911496e-01
  -4.0885190e-02  -5.0825759e-01
   1.8257206e+00   4.0152735e-01
   4.9731310e-01  -5.9820236e-01
   2.1185524e+00   3.1013218e-02
  -6.6574704e-01   7.9538777e-01
  -1.1227390e+00   1.5940591e+00
  -6.4770839e-01   4.6241415e-01
  -8.5363521e-01   2.0599099e+00
  -5.5748640e-02   8.7947704e-01
   8.5589269e-01  -8.2543792e-01
   2.4803778e-01   1.3298677e-01
  -5.7476207e-01  -5.3603447e-01
  -2.0055706e-01   9.3995423e-01
  -2.7888402e+00  -4.3008808e-01
   1.0792890e+00  -6.6094431e-01
  -1.2917620e-01  -2.4248748e-01
   1.9452180e+00   1.8250019e-01
   4.4254408e-01   7.8689753e-01
   6.0592974e-01   9.6278921e-01
   1.3811865e+00  -8.8788092e-02
  -1.1195162e+00   1.8966913e+00
   7.2739949e-01  -4.6009902e-01
  -2.5289379e-01   3.3979222e-01
   5.3006824e-01   4.3114770e-02
   3.0399073e-01  -5.1306931e-01
  -7.2457574e-01   2.1539092e-02
  -1.3917234e-01  -2.0584984e-01
   1.2855242e+00   1.9465348e+00
  -1.4921660e+00   2.0396332e+00
   2.5108750e-02  -3.5086766e-01
   4.0905614e-01   1.3466242e+00
   4.3826743e-01   8.4516501e-01
  -9.3803978e-03  -3.8992819e-01
   4.4067418e-01   2.9162930e-01
   1.2268008e+00   9.1479638e-02
